,kma_jid,t_max,hu,lag1_t_max,lag1_hu,lag2_t_max,lag2_hu,lag3_t_max,lag3_hu,lag4_t_max,lag4_hu,lag5_t_max,lag5_hu,lag6_t_max,lag6_hu,lag7_t_max,lag7_hu,pd_in,date,place,month,day_of_week,day,weekdayname,holiday,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff,is_first,is_weekend
2430,20160601_BS,23.6,53.5,30.5,55.1,26.6,62.3,25.4,75.4,24.1,65.5,26.7,52.6,26.0,61.9,23.8,71.9,652,2016-06-01,BS,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
2431,20160601_CB,27.686666666999997,49.233333333000004,28.313333333000003,58.246666667,28.893333333,55.246666667,26.6,54.82,27.966666667,52.773333333000004,28.686666666999997,54.293333333,25.253333333,69.44,25.2,71.993333333,126,2016-06-01,CB,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
2432,20160601_CN,28.04375,68.4125,26.25,76.68125,27.96875,72.8625,26.1125,70.45625,26.3375,68.175,27.9875,69.21875,24.375,79.8625,24.1,82.38125,287,2016-06-01,CN,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
2433,20160601_DG,25.1,52.0,30.8,47.1,32.3,52.9,28.6,57.8,29.2,50.6,29.1,54.6,28.2,66.1,28.0,68.0,281,2016-06-01,DG,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
2434,20160601_DJ,28.4,59.1,27.9,64.9,29.4,66.0,26.9,60.8,28.0,57.5,29.1,58.4,26.4,74.0,25.5,74.8,214,2016-06-01,DJ,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
2435,20160601_GB,25.1,53.070833333,30.025,53.066666667,28.016666667,60.416666667,27.6,61.220833333,28.783333333,54.375,27.3125,57.129166667,27.5625,63.579166666999996,27.1375,64.733333333,354,2016-06-01,GB,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
2436,20160601_GG,29.20952381,54.285714286,27.321428571,71.48095238100001,28.523809524,64.25952381,27.126190475999998,62.530952381000006,27.471428571,63.378571429,27.254761905,66.714285714,23.402380951999998,76.397619048,24.097619048000002,74.202380952,934,2016-06-01,GG,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
2437,20160601_GJ,28.8,66.6,28.6,60.8,29.9,61.9,26.7,69.4,26.9,65.1,29.6,63.5,28.4,68.9,26.9,73.5,209,2016-06-01,GJ,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
2438,20160601_GN,26.122727273000002,52.23636363600001,30.290909091,58.622727273,31.013636364,60.240909091000006,26.127272726999998,76.231818182,26.459090909,68.58181818199999,28.695454545,56.759090908999994,27.931818181999997,66.518181818,26.736363636,69.89047619,461,2016-06-01,GN,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
2439,20160601_GW,26.033333333,53.772222221999996,27.616666666999997,58.333333333,27.122222221999998,64.261111111,27.066666667,61.711111111,28.833333333000002,54.761111111000005,26.038888889000003,63.872222222,23.7,70.133333333,24.983333333,61.055555556,106,2016-06-01,GW,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False
