,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.19311440245127676,-0.04621376761498708,0.00955696901242381,-0.043809687641277795,-0.017311259318317646,0.15993524236156165,-0.10686868939587335,-0.25806156368283206,-0.1789821778132401,-0.06556729869908617,0.02640767663247008,0.02215974158418474,0.007174113013439509,0.0448374157335981,-0.050700695546026686,-0.14087535912018057
pvalue,0.00042428002160398214,0.340384486123677,0.8486259529006805,0.36561362879609804,0.6917737455838673,0.0002912861062650516,0.05721562761484154,1.4271121260369416e-12,2.1297599642501087e-09,0.002625958658111034,0.1448675195379706,0.2143091348023317,0.6885159482359402,0.01948960691436807,0.07696165058988316,2.4357447148623606e-07
lowerCI,-0.3005046950877179,-0.1412177174399455,-0.0885785589689643,-0.1387179349715968,-0.10289461473154782,0.07341206218068948,-0.21701392568624106,-0.3294869567626184,-0.23756981524515822,-0.10828369093882576,-0.009094085662032715,-0.012815438829569231,-0.027902117097652536,0.0072181776868990855,-0.10688743853342628,-0.1943584713963852
higherCI,-0.08572410981483565,0.04879018220997133,0.10769249699381192,0.051098559689041215,0.06827209609491253,0.24645842254243383,0.0032765468944943588,-0.18663617060304571,-0.120394540381322,-0.0228509064593466,0.06190943892697288,0.05713492199793871,0.042250343124531554,0.08245665378029711,0.005486047441372904,-0.08739224684397592
RR,0.8243876567754048,0.9548378269677718,1.00960278267104,0.9571360949688404,0.9828377196215229,1.1734348796596592,0.8986436666859914,0.7725476697631726,0.8361208007653127,0.9365360169831504,1.0267594489957275,1.0224070923551754,1.0071999086121544,1.0458578060608923,0.9505631357397613,0.8685975677160142
lowerRRCI,0.7404444276985234,0.8683002470101917,0.9152312082916563,0.870473523973038,0.9022220493845066,1.076173896125087,0.8049187601808504,0.7192926670229062,0.7885418368176341,0.8973729837322529,0.9909471404690082,0.9872663292360323,0.9724835516552072,1.007244291525088,0.8986268180502228,0.8233626993839047
higherRRCI,0.9178474213872431,1.0500000189425664,1.113705225021444,1.0524266150116435,1.0706565903258707,1.279485984337453,1.0032819206417791,0.8297455673039715,0.8865705798107297,0.9774081981593975,1.0638659955192444,1.0587986559888578,1.0431555928958323,1.0859516005221845,1.0055011233560902,0.9163176024450886
AR,-0.21302155822116925,-0.047298265482052994,0.009511446319150027,-0.044783500754461664,-0.01746196756173142,0.14780102642761217,-0.11278812400446712,-0.2944185053416235,-0.1959994286527574,-0.06776459406364875,0.026062043083120257,0.021916018113253975,0.007148440493879008,0.04384707538170093,-0.05200797548472702,-0.1512811423470939
lowerARCI,-0.35054024663030664,-0.15167536050264704,-0.09262008434630488,-0.14880001798994857,-0.10837459656655175,0.07078214440933915,-0.2423614027523951,-0.3902546847014563,-0.2681635308479767,-0.11436383547107948,-0.009135562494995567,-0.012897908484148632,-0.02829502699347326,0.0071921892097490826,-0.11280898801766184,-0.21453157976219614
higherARCI,-0.08950570290712455,0.04761906480051348,0.10209633794189546,0.04981498402248546,0.0659937004678272,0.21843614370045428,0.003271184872622588,-0.20518872218772208,-0.1279417823829501,-0.02311398848827559,0.06003199255191267,0.055533368555273806,0.041370235839920104,0.07914864758323882,0.005471026564076777,-0.09132466443033994
isSignificant,True,False,False,False,False,True,False,True,True,True,False,False,False,True,False,True
