,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.08159498265487612,-0.04256811304066632,-0.019045487044117848,-0.03723636689812265,-0.023347199738973708,-0.022327880242882348,-0.054923802946385936,-0.11592433872384855,-0.027623054896617316,-0.05472578558804697,-0.03684020603259738,-0.03206127933424685,0.005215576891208468,0.0177037264390823,-0.04050229291479679,-0.07341650582856962
pvalue,0.028709655412654855,0.1899428889801117,0.6031328894013912,0.3102982398834635,0.5071950005383734,0.5255690629610218,0.13734482529343278,0.0005157325272204871,0.3808116911908307,0.11119854822366103,0.26874884171919944,0.3118073397165201,0.8577030992867275,0.5457238192248918,0.1858074553836866,0.02167231164684468
lowerCI,-0.15470439916771794,-0.10622028978359493,-0.09084473480791186,-0.10916835442209662,-0.09234428306570078,-0.09126757640300287,-0.1273778205543651,-0.18135582901770003,-0.08939859956456972,-0.12206544727778668,-0.10212849176601853,-0.0941896722845938,-0.051797317835007774,-0.03972725876305603,-0.10050077924762282,-0.13608627689639974
higherCI,-0.008485566142034287,0.02108406370226229,0.05275376071967616,0.03469562062585131,0.04564988358775337,0.046611815917238175,0.01753021466159324,-0.05049284842999707,0.034152489771335094,0.012613876101692734,0.02844807970082376,0.030067113616100094,0.06222847161742471,0.07513471164122063,0.019496193418029245,-0.010746734760739507
RR,0.9216451653916877,0.958325188855316,0.9811347323089177,0.9634483811279859,0.9769232373905379,0.9779195419826778,0.9465572700807593,0.8905426003381328,0.9727549729255498,0.9467447234097912,0.9638301372859747,0.968447234459044,1.0052292016891242,1.017861366300938,0.9603069626068446,0.9292137264828809
lowerRRCI,0.8566683719432595,0.8992265358366918,0.9131594817752848,0.8965794616744178,0.9117911812380505,0.912773441586115,0.8804009761664608,0.8341384952012257,0.9144809891935916,0.8850904398471283,0.9029135272612662,0.9101101232025643,0.9495212983734718,0.9610515217911472,0.904384407673096,0.87276732958384
higherRRCI,0.9915503346563755,1.0213079029524603,1.054170035086795,1.0353045354893635,1.0467078771893057,1.0477152237578402,1.017684770687186,0.9507607280799165,1.0347423823275015,1.0126937665930436,1.0288565909057372,1.030523693804275,1.0642054576969617,1.0780293642083858,1.0196874853292732,0.9893108050869798
AR,-0.08501627041575426,-0.04348712903441783,-0.0192280092324185,-0.03793832610857697,-0.02362187910598024,-0.022579012965172226,-0.05646011246068717,-0.12291090804674248,-0.02800810875580629,-0.056250935731022446,-0.037527217000990605,-0.032580779229113864,0.005201999385152556,0.017547936184913702,-0.041333697389223246,-0.07617867827356421
lowerARCI,-0.16731285144986524,-0.11206682648610101,-0.09509896130727069,-0.11535010865901155,-0.09674234690686262,-0.09556211261176985,-0.13584608271825235,-0.1988416860664873,-0.09351644464672895,-0.12982804353046534,-0.10752577052779162,-0.09876813201585359,-0.05316226367222953,-0.0405269408826939,-0.10572450333693251,-0.14578074373708302
higherARCI,-0.008521670608434328,0.020863348742198227,0.051386430351660475,0.03410062863549218,0.044623603401867,0.0455421689747907,0.017377454391151553,-0.05178934138300321,0.03357587639287915,0.012534654613060942,0.028047243085971573,0.02961959437496669,0.06033182524350912,0.0723814831015146,0.019307371731561287,-0.010804688332581629
isSignificant,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
