,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.06570087012523906,-0.060001389077392386,-0.13051477177747633,-0.0626360176727836,-0.11398702444668318,-0.07560075829220637,-0.14041353225867514,-0.0865509323879125,-0.037580739477799274,-0.044308239340573846,-0.06506900751085531,-0.04702544186020541,-0.05171548512796431,-0.03307756140576909,-0.07979461742111646,-0.08286968590906872
pvalue,0.00041878649029928195,0.0016988776407167766,4.3241077681513e-11,0.0011833592187582482,6.34004958789656e-09,9.523663742537252e-05,5.013752142071262e-13,4.383990861001395e-06,0.001976501257678733,0.0002975486855093195,5.066862531349893e-07,0.00011111592695797558,6.0120712546828345e-06,0.0035618416158342344,1.8694460583584785e-10,9.373754530573197e-11
lowerCI,-0.10220116896401418,-0.09747319744230216,-0.16931694311264414,-0.10049281702012722,-0.15245611400090064,-0.11357074922333299,-0.17850464498125798,-0.1234903555219399,-0.061389100341906866,-0.06831497257903106,-0.09045493803496699,-0.07087267928076099,-0.07411082019024458,-0.055321299313933384,-0.10433980669875292,-0.10794743903254457
higherCI,-0.029200571286463944,-0.022529580712482608,-0.09171260044230853,-0.02477921832543998,-0.07551793489246574,-0.037630767361079766,-0.10232241953609231,-0.04961150925388511,-0.013772378613691686,-0.020301506102116635,-0.03968307698674364,-0.02317820443964982,-0.02932015006568404,-0.0108338234976048,-0.055249428143479995,-0.05779193278559287
RR,0.9364109308858686,0.9417632254013347,0.8776435284980783,0.9392852947244454,0.8922695334982,0.9271863041187747,0.8689988020478885,0.9170888380707208,0.9631166530458977,0.9566590320723762,0.9370028009153757,0.9540631241409601,0.9495990034510782,0.9674635188483848,0.9233059578732478,0.920471089758144
lowerRRCI,0.902847908420598,0.9071266545444728,0.8442412845177583,0.9043916086161612,0.8585965734980376,0.8926410405167644,0.8365201712478508,0.8838301652836114,0.9404572363423872,0.9339662534844273,0.9135154977769013,0.931580494075724,0.928568783969852,0.946181091773935,0.9009191070537708,0.8976747778452575
higherRRCI,0.9712216457548074,0.9777223150428804,0.912367325834508,0.9755252663561951,0.9272631000208797,0.9630684715636124,0.9027384442316344,0.9515990401210401,0.9863220267004549,0.9799031819739251,0.9610939836925219,0.9770883467764193,0.9711055151995693,0.9892246510101769,0.9462490973602529,0.9438463104803845
AR,-0.06790722642886553,-0.061838021519525284,-0.13941477095069774,-0.06463925882430237,-0.12073758259954898,-0.07853189327513807,-0.1507495725464675,-0.09040690333086958,-0.038295825160386515,-0.04530450920819278,-0.06723266891313576,-0.04814867559251027,-0.053076084079439964,-0.03363070598294483,-0.08306460222937374,-0.08640022606549486
lowerARCI,-0.10760626532253424,-0.10238189451302686,-0.18449549712700103,-0.10571569934193915,-0.1646913473295914,-0.12027114440210339,-0.19542843600326293,-0.13143909234995507,-0.06331256898951158,-0.07070249730032,-0.09467217845079176,-0.07344454543582846,-0.07692614404369982,-0.056880134991033685,-0.10997756865236033,-0.11398919149801652
higherARCI,-0.02963108819802593,-0.022785288434520927,-0.09604977259059308,-0.025088774722589736,-0.07844256929611713,-0.03834777020207767,-0.10774057135801915,-0.05086276660472822,-0.0138676547104013,-0.020508983331997844,-0.04048096956969939,-0.023448906436321883,-0.029754217588284046,-0.010892721869415157,-0.05680417850827631,-0.05949452670004641
isSignificant,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
