,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.030014939683462583,-0.07167582898781366,-0.03287386757876942,-0.047424948743592266,-0.0149350268932944,-0.07202028911063363,-0.06551876061943362,-0.08845046549059565,-0.03614854838314557,-0.07651328241459965,-0.027958817140704917,-0.03330899629614004,-0.006121961297669648,-0.018783475941617084,-0.04378122123146588,-0.08557350463788996
pvalue,0.23451622460527521,0.005731615362192874,0.1937397770640248,0.05433311671885744,0.5732732422509705,0.007407980132019337,0.008748086543312552,0.0005991728694773549,0.11024406604828592,0.0010747869363226244,0.1785503689099991,0.08597228681662876,0.7596032819138447,0.3432216515949639,0.036988841826229135,0.00021584013758434585
lowerCI,-0.07950007598739497,-0.1225244037542101,-0.08245207548745606,-0.09573207818742199,-0.06690621184434883,-0.12473168773768772,-0.11449927259237709,-0.13896337501524236,-0.08051019253539352,-0.12237107388763312,-0.06869400642221103,-0.0713305456808565,-0.04533357377856164,-0.05762521662455287,-0.08491940776659301,-0.13090697027019838
higherCI,0.01947019662046981,-0.02082725422141722,0.016704340329917217,0.0008821807002374685,0.037036158057760026,-0.019308890483579533,-0.01653824864649016,-0.037937555965948944,0.008213095769102369,-0.03065549094156618,0.012776372140801198,0.004712553088576432,0.033089651183222345,0.0200582647413187,-0.002643034696338753,-0.04024003900558153
RR,0.9704310355077176,0.9308325958521333,0.9676606052669835,0.9536820454825223,0.9851759474656038,0.9305120163584369,0.9365814757461718,0.9153484509494875,0.9644970083698585,0.9263406101670634,0.9724284133591473,0.9672396399426565,0.9938967397256208,0.9813918341821336,0.9571633415849704,0.9179856643703435
lowerRRCI,0.9235779497883213,0.8846843150614693,0.9208555683535665,0.9087074460031916,0.9352829156831028,0.8827337190939775,0.8918125871291633,0.870259901130194,0.9226454994389219,0.8848199739894773,0.9336123157473964,0.931154052302632,0.9556786393224964,0.944003678031372,0.9185863123408674,0.8772993855196441
higherRRCI,1.0196609770647098,0.979388135123226,1.0168446379271312,1.0008825699360817,1.0377305424806924,0.9808763320791009,0.9835977573882708,0.9627730584478338,1.0082469157657108,0.9698096237313154,1.0128583386897396,1.004723674630305,1.0336432024236883,1.0202607835256388,0.9973604550446851,0.960558839888292
AR,-0.030469928733073023,-0.07430702841314578,-0.0334201832305593,-0.04856750185963998,-0.015047111708859284,-0.07467714808617368,-0.06771276807850898,-0.0924801358026048,-0.03680985147911111,-0.07951652882804343,-0.028353333018735705,-0.03386995187592366,-0.006140738801562154,-0.018960995159873074,-0.04475375994247357,-0.08934163006337477
lowerARCI,-0.08274564180445644,-0.13034670444057597,-0.08594662872912728,-0.10046418613421124,-0.06919519562658719,-0.13284445622671195,-0.12131182541289656,-0.14908201412165994,-0.08383989366242917,-0.13017340181777187,-0.07110840670461527,-0.07393615216206191,-0.04637684557742555,-0.05931790656303683,-0.08862932809401775,-0.13986173535010232
higherARCI,0.019281876532440928,-0.02104565507543202,0.016565596452836204,0.0008817916932433687,0.03635870867836041,-0.01949651275646944,-0.016675762514223043,-0.038666372335120026,0.008179460444416725,-0.031130208991459546,0.01269510078415656,0.00470146643259212,0.032548177499548886,0.019858436051638766,-0.0026465305917875714,-0.041060639363117775
isSignificant,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True,True
