,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.048682059183983606,-0.02876976672465703,-0.02791941929407693,-0.0167667218679326,-0.02227915855460172,-0.008488943525342352,-0.049841913430513474,-0.040189079753291224,-0.024513508456229016,-0.014347809136020406,-0.01896401708404022,-0.023141690835853213,-0.01671231513934479,2.7945800806117305e-05,-0.022825023531009236,-0.030464029629258205
pvalue,1.1037755488863733e-09,0.0002460764801825271,0.00042837641326674,0.032073817789117026,0.004136650131350062,0.2777196488268949,3.761641882598463e-10,1.8784498342986982e-07,8.977258508484767e-08,0.0014291721280305601,5.255371958765878e-05,1.5243185055367043e-07,6.45827852065965e-05,0.9946119614747202,5.554916336933299e-07,1.675558076684253e-11
lowerCI,-0.06434022329202299,-0.04414973206995084,-0.04345654343809007,-0.032097877842718094,-0.037506919798377385,-0.02381708245817491,-0.06543808660262644,-0.05530507293151438,-0.03350021586592618,-0.023166840252665383,-0.02815518157587587,-0.03178175896021683,-0.024910609609089154,-0.0080829854167649,-0.03176139852778058,-0.03933360962243841
higherCI,-0.03302389507594422,-0.01338980137936322,-0.012382295150063791,-0.0014355658931471064,-0.007051397310826053,0.0068391954074902075,-0.0342457402584005,-0.025073086575068064,-0.015526801046531858,-0.00552877801937543,-0.009772852592204569,-0.014501622711489593,-0.008514020669600428,0.008138877018377134,-0.013888648534237893,-0.021594449636078
RR,0.9524839150752409,0.9716401426090286,0.9724667256993403,0.9833730573099896,0.9779671890344788,0.9915469858164814,0.9513798129841144,0.9606077904957863,0.9757845074870688,0.9857546301657448,0.9812146685725476,0.9771240244445439,0.983426560876483,1.0000279461912935,0.9774334966731453,0.9699953225310646
lowerRRCI,0.937685922663624,0.956810681502918,0.9574741617220841,0.9684117913833155,0.9631877526327135,0.9764643058737404,0.9366570365837446,0.946196444994731,0.9670547024772214,0.9770994506541855,0.9722374817497161,0.9687179730289587,0.9753970992594204,0.9919495940709225,0.9687376967465894,0.9614299133686629
higherRRCI,0.9675154404578895,0.9866994432444726,0.9876940500321219,0.9985654640386658,0.9929734054588895,1.0068626361124515,0.9663340082885967,0.97523863257205,0.9845931182721374,0.9944864775459915,0.9902747465457048,0.985603019381741,0.9915221209614504,1.0081720877160567,0.9862073537834121,0.9786370411915369
AR,-0.04988649590056921,-0.029187613960473098,-0.028312818909931713,-0.01690807223811206,-0.02252919240294109,-0.008525076778442385,-0.05110491767045448,-0.041007589043060684,-0.024816434701646573,-0.014451232992798579,-0.019144976149593203,-0.02341153731069108,-0.01685274710167062,2.7945410325754742e-05,-0.02308750764493289,-0.0309328063465734
lowerARCI,-0.06645516993511469,-0.04513883397417971,-0.044414606657823756,-0.03261857083706382,-0.03821918132437455,-0.024102974358289328,-0.06762663487511428,-0.056862985788927393,-0.034067666946229085,-0.023437275837666485,-0.028555284867561596,-0.03229219219834397,-0.025223471301339288,-0.00811574093804395,-0.03227117449687567,-0.04011741895589148
higherARCI,-0.03357523630500072,-0.013479846215168062,-0.012459273160021501,-0.0014365968111217412,-0.007076316951170807,0.0068158613363075195,-0.03483887705766109,-0.0253900600334561,-0.015647968121999655,-0.005544089918259858,-0.009820762862245066,-0.014607281364955727,-0.008550368024395481,0.008105846031276268,-0.013985543875408004,-0.021829297185044873
isSignificant,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True
