,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.03445477341526115,-0.0173368476108533,-0.008381002178646346,-0.0036724719757990076,-0.027234055326442075,-0.014796473891411699,-0.043097553212242845,5.9407280456391653e-05,-0.01699332315686064,-0.0005731509907449528,0.004952296108478138,-0.00555306291736013,-0.01289194743319133,-0.004694933394242429,-0.027142637546187287,-0.009206732224676606
pvalue,2.8895224146457834e-05,0.03112921494206569,0.3028607983820619,0.6474379821916276,0.000687991449876676,0.06743748861754058,1.5125354404780019e-07,0.9940578483893794,0.0003064761899604039,0.9012454697559893,0.30325142590609233,0.2184613171852421,0.0027472921603743827,0.26696925208004463,5.746642978535911e-09,0.04642427267263583
lowerCI,-0.05060256577021047,-0.03310159125904226,-0.024324103238615905,-0.019411660027917534,-0.04295966781906498,-0.03065462858109708,-0.05918386411720816,-0.015574951758597144,-0.02622004963352674,-0.009626031349560952,-0.004476023881116939,-0.014397154325616248,-0.021329482707573396,-0.012984417695133388,-0.036277060664237436,-0.018267603722898464
higherCI,-0.01830698106031184,-0.0015721039626643424,0.007562098881323212,0.012066716076319518,-0.011508442833819167,0.0010616807982736821,-0.027011242307277528,0.015693766319509927,-0.007766596680194542,0.008479729368071046,0.014380616098073215,0.0032910284908959885,-0.004454412158809266,0.0035945509066485307,-0.01800821442813714,-0.00014586072645474818
RR,0.9661320335507063,0.9828125708041971,0.9916540205100733,0.9963342633018454,0.9731334478004129,0.9853124560071235,0.9578179472917812,1.0000594090451038,0.9831502489529899,0.9994270132289085,1.0049645789946438,0.9944623268365871,0.9871907977572201,0.9953160705778382,0.9732224135665669,0.9908355199668236
lowerRRCI,0.9506564188640217,0.9674402711213006,0.9759693436679688,0.9807755330450253,0.957950025501655,0.9698104600571581,0.9425334551428048,0.9845457105537648,0.974120711117168,0.9904201505884911,0.995533978584452,0.985705989116735,0.9788963819993136,0.9870995161860452,0.9643730666233955,0.9818982375735554
higherRRCI,0.9818595737965923,0.9984291311454462,1.0075907637610637,1.0121398126105772,0.9885575259857674,1.0010622445808337,0.9733502987596786,1.0158175602198483,0.9922634854029547,1.0085157841125851,1.014484514601835,1.0032964498708339,0.9955554940208371,1.0036010190524631,0.9821529645002178,0.9998541499107039
AR,-0.03505521530512026,-0.0174880030093012,-0.008416221098598247,-0.0036792237637260335,-0.02760829181271485,-0.0149064836269261,-0.04403973931318378,5.940551587884757e-05,-0.01713853102814586,-0.0005733152731587062,0.004940053707773728,-0.005568509750418008,-0.012975406853346798,-0.004705971862227132,-0.02751435443754455,-0.009249244550178457
lowerARCI,-0.05190474724290077,-0.03365554427557726,-0.024622347502962705,-0.01960129133247062,-0.04389579140762012,-0.0311293197859122,-0.06097029717474411,-0.015696873472276662,-0.026566819273509106,-0.009672510606550892,-0.004486056238781723,-0.014501292516314594,-0.021558582081572332,-0.013069081285542208,-0.03694310284021799,-0.0184354770522628
higherARCI,-0.018475581119266855,-0.001573340365932275,0.007533578149058696,0.011994205206951967,-0.011574919732488422,0.0010611174146104062,-0.027379352812939593,0.015571260863441802,-0.0077968349242474675,0.008443877871557912,0.014277708918523974,0.003285618992530348,-0.004464347799651519,0.0035880982423303867,-0.018171340050746457,-0.0001458713646476886
isSignificant,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True
