,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.06891857903497045,-0.05073421292551905,-0.050612054137747275,-0.05009709830289677,-0.06142192983207573,-0.03490317447729474,-0.07189633326198641,-0.05458489845975589,-0.03407265736398213,-0.02498732845886964,-0.026841843042243685,-0.03376148324836237,-0.02799123467700182,-0.010209117996889283,-0.03598326910233918,-0.02906541547569641
pvalue,0.0,3.7544442772762025e-186,8.515926837640693e-183,3.784847346132628e-183,8.622484163856361e-281,2.5688234497035332e-92,0.0,5.680628343844116e-217,3.402805058918178e-250,4.388743503980984e-135,2.1552268831219853e-145,1.6442121428617046e-253,1.704129444498163e-197,5.383725375668183e-29,2.684907830011184e-285,1.495821016959237e-185
lowerCI,-0.07237650411107648,-0.05415148053216359,-0.05405259722544669,-0.053499322009817434,-0.06478398417677009,-0.03826001172402879,-0.07534101321469917,-0.05798766924983197,-0.036049375133363024,-0.0269672084058702,-0.028890783680009892,-0.035707186948635644,-0.02982108291765612,-0.01199962140080643,-0.03793714827825366,-0.031026353781177296
higherCI,-0.06546065395886443,-0.04731694531887451,-0.04717151105004786,-0.046694874595976106,-0.05805987548738136,-0.03154633723056069,-0.06845165330927365,-0.05118212766967981,-0.03209593959460123,-0.023007448511869078,-0.024792902404477478,-0.03181577954808909,-0.02616138643634752,-0.008418614592972136,-0.034029389926424694,-0.027104477170215524
RR,0.9334026755309514,0.9505312758883416,0.9506473987293116,0.9511370662219182,0.9404263621175878,0.9656989160332319,0.9306273659140794,0.9468781169515931,0.9665012786511279,0.9753222707862998,0.9735151975513817,0.9668020756294472,0.9723968901367164,0.9898428181572112,0.964656432916166,0.9713529208748722
lowerRRCI,0.930180613049037,0.9472885998516228,0.9473822755121946,0.947906583674943,0.9372699066416138,0.9624626567795054,0.9274271674773833,0.9436615834202865,0.9645926654158157,0.9733931601144384,0.9715225647918697,0.9649227941088435,0.9706191783654932,0.988072086945155,0.9627734509586431,0.9694500240655743
higherRRCI,0.9366358989492384,0.953785051971953,0.9539237750909074,0.9543785583110423,0.943593447627772,0.9689460571366423,0.9338386070184839,0.9501056142522634,0.9684136684074656,0.9772552046491768,0.9755119172826823,0.9686850172346247,0.9741778578287086,0.9916167227096205,0.9665430975895437,0.973259552808392
AR,-0.07134897532960875,-0.05204323662619749,-0.0519147281491075,-0.05137317797126117,-0.06334747757205399,-0.035519439234399784,-0.07454394382415519,-0.05610213405229921,-0.034659779649359304,-0.02530212828402359,-0.02720533024572575,-0.03433787039497089,-0.028386670240587362,-0.010261408838322843,-0.036638502453137704,-0.029491936977268863
lowerARCI,-0.07506003239747408,-0.05564449963467684,-0.05554011917666297,-0.05495627651735033,-0.06692852604556358,-0.03900135029248643,-0.07825178630470354,-0.059701928709989235,-0.03670703277525023,-0.027334114287831536,-0.029312170648585024,-0.03635234456612885,-0.030270184526936365,-0.012071905696397897,-0.03866594888370683,-0.03151268778797744
higherARCI,-0.06765072865757805,-0.048454259093804755,-0.04830178900269216,-0.04780224921407877,-0.059778448561757326,-0.03204919678926816,-0.07084885170120897,-0.052514567853599835,-0.03261656936800308,-0.023274161388568203,-0.02510280221437993,-0.032327311982972964,-0.02650659934813646,-0.00845415078062815,-0.03461501354041456,-0.027475144851593775
isSignificant,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
