kma_jid,t_max,t_avg,hu,lag1_t_max,lag1_hu,lag1_t_avg,lag2_t_max,lag2_hu,lag2_t_avg,lag3_t_max,lag3_hu,lag3_t_avg,lag4_t_max,lag4_hu,lag4_t_avg,lag5_t_max,lag5_hu,lag5_t_avg,lag6_t_max,lag6_hu,lag6_t_avg,lag7_t_max,lag7_hu,lag7_t_avg,pd_in,date,place,month,day_of_week,day,weekdayname,holiday,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff,is_first,is_weekend,is_98,SO2,CO,O3,NO2,PM10,PM25
20160601_BS,23.6,20.7,53.5,30.5,55.1,23.8,26.6,62.3,22.4,25.4,75.4,20.0,24.1,65.5,21.0,26.7,52.6,23.0,26.0,61.9,22.1,23.8,71.9,19.9,652,2016-06-01,BS,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.0052382133995037,0.3485436893203886,0.0542484599589322,0.015004132231404912,44.443991853360494,21.5020325203252
20160601_CB,27.686666666999997,21.88,49.233333333000004,28.313333333000003,58.246666667,21.78,28.893333333,55.246666667,21.426666667,26.6,54.82,20.313333333,27.966666667,52.773333333000004,21.22,28.686666666999997,54.293333333,21.766666667,25.253333333,69.44,20.1,25.2,71.993333333,18.453333333,126,2016-06-01,CB,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.0031558139534883746,0.30930232558139537,0.0405503875968992,0.01283178294573641,48.49027237354085,29.69098712446352
20160601_CN,28.04375,21.6,68.4125,26.25,76.68125,20.36875,27.96875,72.8625,20.4,26.1125,70.45625,19.7,26.3375,68.175,20.04375,27.9875,69.21875,20.85,24.375,79.8625,19.575,24.1,82.38125,18.58125,287,2016-06-01,CN,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.003075342465753429,0.42648401826483984,0.0531278538812785,0.017974885844748836,58.8918918918919,29.901408450704228
20160601_DG,25.1,20.6,52.0,30.8,47.1,25.2,32.3,52.9,24.6,28.6,57.8,22.8,29.2,50.6,23.5,29.1,54.6,24.3,28.2,66.1,22.6,28.0,68.0,21.3,281,2016-06-01,DG,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.002846153846153848,0.28485915492957703,0.05371328671328667,0.008639860139860121,39.97560975609756,17.552083333333332
20160601_DJ,28.4,22.9,59.1,27.9,64.9,22.0,29.4,66.0,22.0,26.9,60.8,21.1,28.0,57.5,22.0,29.1,58.4,22.9,26.4,74.0,21.0,25.5,74.8,19.5,214,2016-06-01,DJ,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.0022875000000000018,0.3770833333333334,0.05017499999999995,0.016820960698689918,46.189075630252105,24.972222222222218
20160601_GB,25.1,19.75,53.070833333,30.025,53.066666667,22.833333333000002,28.016666667,60.416666667,21.4625,27.6,61.220833333,20.783333332999998,28.783333333,54.375,21.804166666999997,27.3125,57.129166667,21.904166667,27.5625,63.579166666999996,21.220833332999998,27.1375,64.733333333,19.741666667,354,2016-06-01,GB,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.004463281249999981,0.3953929539295387,0.052041062801932346,0.008388010204081609,34.2,16.035294117647062
20160601_GG,29.20952381,22.602380951999997,54.285714286,27.321428571,71.48095238100001,20.938095238,28.523809524,64.25952381,21.39047619,27.126190475999998,62.530952381000006,20.642857143,27.471428571,63.378571429,20.769047619000002,27.254761905,66.714285714,20.707142857,23.402380951999998,76.397619048,19.319047619000003,24.097619048000002,74.202380952,19.266666667,934,2016-06-01,GG,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.0038214858364510437,0.4295331161780615,0.03953555555555565,0.02514164859002181,49.0343716433942,24.114391143911444
20160601_GJ,28.8,22.5,66.6,28.6,60.8,22.1,29.9,61.9,22.3,26.7,69.4,20.7,26.9,65.1,21.5,29.6,63.5,23.3,28.4,68.9,21.9,26.9,73.5,20.4,209,2016-06-01,GJ,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.003961165048543693,0.5276699029126222,0.04908737864077668,0.01929126213592229,69.74162679425838,43.44171779141104
20160601_GN,26.122727273000002,21.304545455,52.23636363600001,30.290909091,58.622727273,22.854545455,31.013636364,60.240909091000006,22.477272727,26.127272726999998,76.231818182,20.195454545,26.459090909,68.58181818199999,20.972727273,28.695454545,56.759090908999994,22.963636364,27.931818181999997,66.518181818,21.395454545,26.736363636,69.89047619,19.871428571,461,2016-06-01,GN,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.004727392120075021,0.4426666666666685,0.04895036764705883,0.01378248587570619,51.02573529411765,27.455598455598448
20160601_GW,26.033333333,19.861111111,53.772222221999996,27.616666666999997,58.333333333,20.994444444000003,27.122222221999998,64.261111111,19.977777778,27.066666667,61.711111111,20.3,28.833333333000002,54.761111111000005,21.444444444000002,26.038888889000003,63.872222222,19.888888889,23.7,70.133333333,19.705555556,24.983333333,61.055555556,19.6,106,2016-06-01,GW,6,2,1,Wednesday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,,0.0017902542372881364,0.3250000000000002,0.04463135593220336,0.0102550847457627,39.294871794871796,22.97916666666667
