kma_jid,t_max,t_avg,hu,lag1_t_max,lag1_hu,lag1_t_avg,lag2_t_max,lag2_hu,lag2_t_avg,lag3_t_max,lag3_hu,lag3_t_avg,lag4_t_max,lag4_hu,lag4_t_avg,lag5_t_max,lag5_hu,lag5_t_avg,lag6_t_max,lag6_hu,lag6_t_avg,lag7_t_max,lag7_hu,lag7_t_avg,pd_in
20160101_BS,10.9,5.3,52.1,10.5,51.9,5.7,11.0,41.3,4.7,8.3,31.9,2.7,5.4,31.5,1.2,10.4,38.3,5.8,12.6,48.8,7.6,9.8,30.5,5.5,5
20160101_CB,5.6333333333,0.32,74.333333333,4.5466666667,78.57333333300001,1.0333333332999999,7.0666666667,66.9,-0.3,2.7866666667,55.2,-3.56,0.3533333333,45.253333333,-4.426666667,1.58,45.38,-2.806666667,9.54,63.986666667,2.8333333332999997,4.2066666667,44.373333333000005,-0.10666666699999999,2
20160101_CN,7.325,1.975,81.58125,6.01875,86.05,1.26875,6.71875,80.8375,1.05,4.13125,74.225,-2.05625,1.75625,65.80625,-2.85625,1.39375,60.84375,-2.6375,10.425,75.7375,3.4375,5.325,57.10625,0.94375,1
20160101_DG,8.0,1.7,70.5,7.0,66.4,2.0,8.0,62.0,0.6,5.1,46.0,0.0,2.8,41.4,-1.1,5.4,35.4,2.0,11.6,51.1,5.0,6.3,43.0,2.5,2
20160101_DJ,7.7,1.6,77.4,5.8,82.5,1.5,8.1,75.1,1.2,5.4,63.4,-1.3,2.0,59.4,-3.2,3.2,52.0,-2.0,11.0,66.3,4.2,5.9,52.9,1.0,2
20160101_GB,7.529166666699999,1.225,63.966666667,6.4833333333,68.68333333300001,1.6458333333000001,7.6416666667,58.183333333,-0.075,4.7708333333,41.3875,-1.483333333,2.2083333333,35.4125,-2.491666667,4.8041666667000005,47.233333333000004,-0.1125,10.0375,53.616666667,3.4833333332999996,5.9125,43.554166667,1.25,1
20160101_GG,4.6928571429,0.9714285714,78.592857143,4.3166666667,84.195238095,0.8976190476000001,5.2,70.80952381,0.5571428571,2.8904761905000003,55.688095238,-3.516666667,-0.004761905,43.657142857,-5.235714286,-0.264285714,41.8,-4.838095238,6.619047619,74.552380952,1.3452380952,4.2523809524,47.89047619,-0.292857143,4
20160101_GJ,8.1,3.2,73.1,7.5,76.6,3.8,8.1,66.6,3.0,6.8,59.3,1.5,3.2,58.3,0.0,4.6,58.1,0.8,11.2,68.1,4.7,6.2,47.5,3.0,1
20160101_GN,8.818181818200001,1.9590909091,63.690909091,8.7,59.481818182,3.1772727273,8.1727272727,55.095454545,1.3272727273,7.0,45.154545455,0.42272727270000005,4.8318181818,41.136363636,-0.345454545,8.3818181818,47.563636364,2.7045454545,11.468181818,53.163636364,5.2181818182,8.6727272727,35.85,3.7045454545,6
20160101_GW,5.3055555556,0.8611111111,65.922222222,4.7611111111,78.09444444399999,1.4444444444,5.8444444444000005,62.827777778000005,-0.34444444399999996,3.0833333332999997,52.515384615,-3.6777777780000003,0.5833333333,44.884615385,-4.822222222,1.4388888888999998,51.827777778000005,-2.922222222,7.0666666667,57.344444444,2.5722222222,4.1277777777999995,48.522222221999996,0.0055555556,2
20160101_IC,5.73,2.92,82.92,3.63,86.56,1.37,5.19,77.16,1.96,2.54,57.37,-1.93,-1.17,54.9,-4.81,-2.82,47.38,-5.85,6.68,83.33,1.38,2.98,53.58,0.16,1
20160101_JB,7.4066666667,1.2733333333,77.693333333,5.58,83.706666667,1.54,7.6,72.606666667,1.1466666667,4.7066666667,68.78666666699999,-1.46,1.6533333333000002,63.46,-2.14,3.2,59.406666666999996,-1.086666667,10.533333333,70.538461538,5.0615384615,5.0733333333,59.626666666999995,0.8266666667,5
20160101_JJ,11.25,8.55,60.95,11.4,59.3,9.0,10.95,56.8,7.85,8.95,59.2,6.75,7.85,61.9,6.1,11.65,64.6,7.5,13.5,55.5,10.5,10.9,55.95,8.05,2
20160101_JN,8.2454545455,2.7909090908999996,73.554545455,7.295454545499999,75.468181818,3.75,8.5454545455,67.08181818199999,2.7318181818,6.7454545454999995,63.790909091,1.1090909090999999,3.8136363636,62.209090909,0.3818181818,5.531818181799999,57.963636363999996,1.7454545455000001,11.354545455,71.545,5.305,6.968181818200001,54.095454545,3.1681818182,6
20160101_SU,4.0,1.2,73.0,2.8,81.3,0.7,4.3,67.6,0.3,2.9,47.6,-3.2,-1.0,38.4,-5.7,-1.0,39.0,-5.7,4.7,73.3,0.9,3.7,46.3,-0.8,5
20160101_US,12.0,4.0,53.3,9.2,56.3,4.2,10.5,50.9,3.0,8.2,27.0,2.3,5.1,24.4,0.6,8.8,37.4,3.4,11.6,51.1,5.2,9.3,27.0,4.9,3
20160102_BS,12.2,8.1,62.9,10.9,52.1,5.3,10.5,51.9,5.7,11.0,41.3,4.7,8.3,31.9,2.7,5.4,31.5,1.2,10.4,38.3,5.8,12.6,48.8,7.6,3
20160102_CB,11.26,4.82,71.746666667,5.6333333333,74.333333333,0.32,4.5466666667,78.57333333300001,1.0333333332999999,7.0666666667,66.9,-0.3,2.7866666667,55.2,-3.56,0.3533333333,45.253333333,-4.426666667,1.58,45.38,-2.806666667,9.54,63.986666667,2.8333333332999997,1
20160102_CN,11.925,6.2125,83.80625,7.325,81.58125,1.975,6.01875,86.05,1.26875,6.71875,80.8375,1.05,4.13125,74.225,-2.05625,1.75625,65.80625,-2.85625,1.39375,60.84375,-2.6375,10.425,75.7375,3.4375,1
20160102_DG,9.9,3.0,74.8,8.0,70.5,1.7,7.0,66.4,2.0,8.0,62.0,0.6,5.1,46.0,0.0,2.8,41.4,-1.1,5.4,35.4,2.0,11.6,51.1,5.0,1
20160102_DJ,12.3,6.6,76.5,7.7,77.4,1.6,5.8,82.5,1.5,8.1,75.1,1.2,5.4,63.4,-1.3,2.0,59.4,-3.2,3.2,52.0,-2.0,11.0,66.3,4.2,1
20160102_GB,11.425,3.9666666667,67.1,7.529166666699999,63.966666667,1.225,6.4833333333,68.68333333300001,1.6458333333000001,7.6416666667,58.183333333,-0.075,4.7708333333,41.3875,-1.483333333,2.2083333333,35.4125,-2.491666667,4.8041666667000005,47.233333333000004,-0.1125,10.0375,53.616666667,3.4833333332999996,2
20160102_GG,9.9285714286,5.4738095238,80.63571428600001,4.6928571429,78.592857143,0.9714285714,4.3166666667,84.195238095,0.8976190476000001,5.2,70.80952381,0.5571428571,2.8904761905000003,55.688095238,-3.516666667,-0.004761905,43.657142857,-5.235714286,-0.264285714,41.8,-4.838095238,6.619047619,74.552380952,1.3452380952,2
20160102_GJ,12.7,6.5,78.6,8.1,73.1,3.2,7.5,76.6,3.8,8.1,66.6,3.0,6.8,59.3,1.5,3.2,58.3,0.0,4.6,58.1,0.8,11.2,68.1,4.7,0
20160102_GN,11.068181818,4.1227272727,72.16818181800001,8.818181818200001,63.690909091,1.9590909091,8.7,59.481818182,3.1772727273,8.1727272727,55.095454545,1.3272727273,7.0,45.154545455,0.42272727270000005,4.8318181818,41.136363636,-0.345454545,8.3818181818,47.563636364,2.7045454545,11.468181818,53.163636364,5.2181818182,3
20160102_GW,9.6388888889,5.6166666667,66.766666667,5.3055555556,65.922222222,0.8611111111,4.7611111111,78.09444444399999,1.4444444444,5.8444444444000005,62.827777778000005,-0.34444444399999996,3.0833333332999997,52.515384615,-3.6777777780000003,0.5833333333,44.884615385,-4.822222222,1.4388888888999998,51.827777778000005,-2.922222222,7.0666666667,57.344444444,2.5722222222,0
20160102_IC,11.04,7.35,91.63,5.73,82.92,2.92,3.63,86.56,1.37,5.19,77.16,1.96,2.54,57.37,-1.93,-1.17,54.9,-4.81,-2.82,47.38,-5.85,6.68,83.33,1.38,0
20160102_JB,12.246666667000001,5.7066666666999994,78.353333333,7.4066666667,77.693333333,1.2733333333,5.58,83.706666667,1.54,7.6,72.606666667,1.1466666667,4.7066666667,68.78666666699999,-1.46,1.6533333333000002,63.46,-2.14,3.2,59.406666666999996,-1.086666667,10.533333333,70.538461538,5.0615384615,2
20160102_JJ,15.75,12.25,64.3,11.25,60.95,8.55,11.4,59.3,9.0,10.95,56.8,7.85,8.95,59.2,6.75,7.85,61.9,6.1,11.65,64.6,7.5,13.5,55.5,10.5,0
20160102_JN,12.172727273,5.7272727273,80.104545455,8.2454545455,73.554545455,2.7909090908999996,7.295454545499999,75.468181818,3.75,8.5454545455,67.08181818199999,2.7318181818,6.7454545454999995,63.790909091,1.1090909090999999,3.8136363636,62.209090909,0.3818181818,5.531818181799999,57.963636363999996,1.7454545455000001,11.354545455,71.545,5.305,1
20160102_SU,9.5,5.7,76.9,4.0,73.0,1.2,2.8,81.3,0.7,4.3,67.6,0.3,2.9,47.6,-3.2,-1.0,38.4,-5.7,-1.0,39.0,-5.7,4.7,73.3,0.9,5
20160102_US,14.2,5.6,61.0,12.0,53.3,4.0,9.2,56.3,4.2,10.5,50.9,3.0,8.2,27.0,2.3,5.1,24.4,0.6,8.8,37.4,3.4,11.6,51.1,5.2,2
20160103_BS,16.6,11.4,68.3,12.2,62.9,8.1,10.9,52.1,5.3,10.5,51.9,5.7,11.0,41.3,4.7,8.3,31.9,2.7,5.4,31.5,1.2,10.4,38.3,5.8,0
20160103_CB,12.006666667000001,5.2933333333,80.06,11.26,71.746666667,4.82,5.6333333333,74.333333333,0.32,4.5466666667,78.57333333300001,1.0333333332999999,7.0666666667,66.9,-0.3,2.7866666667,55.2,-3.56,0.3533333333,45.253333333,-4.426666667,1.58,45.38,-2.806666667,3
20160103_CN,12.11875,6.125,90.05625,11.925,83.80625,6.2125,7.325,81.58125,1.975,6.01875,86.05,1.26875,6.71875,80.8375,1.05,4.13125,74.225,-2.05625,1.75625,65.80625,-2.85625,1.39375,60.84375,-2.6375,0
20160103_DG,13.9,4.9,77.0,9.9,74.8,3.0,8.0,70.5,1.7,7.0,66.4,2.0,8.0,62.0,0.6,5.1,46.0,0.0,2.8,41.4,-1.1,5.4,35.4,2.0,3
20160103_DJ,14.1,6.9,83.5,12.3,76.5,6.6,7.7,77.4,1.6,5.8,82.5,1.5,8.1,75.1,1.2,5.4,63.4,-1.3,2.0,59.4,-3.2,3.2,52.0,-2.0,0
20160103_GB,13.7125,5.2208333333,71.80833333300001,11.425,67.1,3.9666666667,7.529166666699999,63.966666667,1.225,6.4833333333,68.68333333300001,1.6458333333000001,7.6416666667,58.183333333,-0.075,4.7708333333,41.3875,-1.483333333,2.2083333333,35.4125,-2.491666667,4.8041666667000005,47.233333333000004,-0.1125,0
20160103_GG,9.740476190499999,5.5761904762,88.0,9.9285714286,80.63571428600001,5.4738095238,4.6928571429,78.592857143,0.9714285714,4.3166666667,84.195238095,0.8976190476000001,5.2,70.80952381,0.5571428571,2.8904761905000003,55.688095238,-3.516666667,-0.004761905,43.657142857,-5.235714286,-0.264285714,41.8,-4.838095238,0
20160103_GJ,13.7,7.3,78.9,12.7,78.6,6.5,8.1,73.1,3.2,7.5,76.6,3.8,8.1,66.6,3.0,6.8,59.3,1.5,3.2,58.3,0.0,4.6,58.1,0.8,0
20160103_GN,14.563636364,6.1954545455,77.677272727,11.068181818,72.16818181800001,4.1227272727,8.818181818200001,63.690909091,1.9590909091,8.7,59.481818182,3.1772727273,8.1727272727,55.095454545,1.3272727273,7.0,45.154545455,0.42272727270000005,4.8318181818,41.136363636,-0.345454545,8.3818181818,47.563636364,2.7045454545,0
