kma_jid,t_max,t_diff,t_avg,hu,pd_in,HW
20160101_BS,10.9,9.8,5.3,52.1,583,0
20160101_CB,5.6333333333,11.093333333,0.32,74.333333333,91,0
20160101_CN,7.325,11.64375,1.975,81.58125,214,0
20160101_DG,8.0,12.0,1.7,70.5,246,0
20160101_DJ,7.7,11.9,1.6,77.4,186,0
20160101_GB,7.529166666699999,12.204166667,1.225,63.966666667,280,0
20160101_GG,4.6928571429,8.9333333333,0.9714285714,78.592857143,759,0
20160101_GJ,8.1,9.6,3.2,73.1,177,0
20160101_GN,8.818181818200001,12.418181817999999,1.9590909091,63.690909091,382,0
20160101_GW,5.3055555556,9.644444444400001,0.8611111111,65.922222222,69,0
20160101_IC,5.73,6.63,2.92,82.92,127,0
20160101_JB,7.4066666667,11.073333332999999,1.2733333333,77.693333333,339,0
20160101_JJ,11.25,5.6,8.55,60.95,18,0
20160101_JN,8.2454545455,10.604545455,2.7909090908999996,73.554545455,215,0
20160101_SU,4.0,7.3,1.2,73.0,396,0
20160101_US,12.0,13.6,4.0,53.3,122,0
20160102_BS,12.2,7.6,8.1,62.9,17,0
20160102_CB,11.26,10.66,4.82,71.746666667,16,0
20160102_CN,11.925,10.15,6.2125,83.80625,11,0
20160102_DG,9.9,12.6,3.0,74.8,22,0
20160102_DJ,12.3,10.3,6.6,76.5,6,0
20160102_GB,11.425,12.45,3.9666666667,67.1,27,0
20160102_GG,9.9285714286,8.8714285714,5.4738095238,80.63571428600001,51,0
20160102_GJ,12.7,11.4,6.5,78.6,15,0
20160102_GN,11.068181818,11.718181818,4.1227272727,72.16818181800001,19,0
20160102_GW,9.6388888889,7.65,5.6166666667,66.766666667,9,0
20160102_IC,11.04,7.09,7.35,91.63,10,0
20160102_JB,12.246666667000001,12.12,5.7066666666999994,78.353333333,31,0
20160102_JJ,15.75,7.25,12.25,64.3,7,0
20160102_JN,12.172727273,11.709090909,5.7272727273,80.104545455,22,0
20160102_SU,9.5,8.5,5.7,76.9,45,0
20160102_US,14.2,13.9,5.6,61.0,6,0
20160103_BS,16.6,8.7,11.4,68.3,0,0
20160103_CB,12.006666667000001,11.926666667000001,5.2933333333,80.06,2,0
20160103_CN,12.11875,10.625,6.125,90.05625,0,0
20160103_DG,13.9,16.2,4.9,77.0,4,0
20160103_DJ,14.1,13.1,6.9,83.5,1,0
20160103_GB,13.7125,14.633333333,5.2208333333,71.80833333300001,3,0
20160103_GG,9.740476190499999,6.9333333333,5.5761904762,88.0,4,0
20160103_GJ,13.7,10.0,7.3,78.9,0,0
20160103_GN,14.563636364,14.05,6.1954545455,77.677272727,1,0
20160103_GW,10.372222222000001,9.2722222222,5.15,79.338888889,0,0
20160103_IC,7.91,3.45,5.78,96.73,0,0
20160103_JB,14.06,11.846666667000001,6.48,82.113333333,3,0
20160103_JJ,16.45,6.7,12.7,66.9,1,0
20160103_JN,14.127272727000001,11.181818182,7.1227272727,80.481818182,2,0
20160103_SU,9.4,4.3,6.5,80.6,9,0
20160103_US,15.6,14.9,7.0,76.4,1,0
20160104_BS,15.2,7.6,10.4,46.3,105,0
20160104_CB,7.8533333333,8.98,4.28,54.606666667,57,0
20160104_CN,8.15,10.0125,3.9375,69.43125,90,0
20160104_DG,11.4,10.3,5.8,58.1,82,0
20160104_DJ,9.6,10.1,5.1,62.5,49,0
20160104_GB,10.8875,10.4,5.6375,51.854166667,108,0
20160104_GG,6.380952381,8.2261904762,2.8285714286,55.716666667,288,0
20160104_GJ,11.4,9.1,6.4,66.5,49,0
20160104_GN,13.809090909000002,11.563636364,6.990909090900001,56.772727273,104,0
20160104_GW,8.394444444400001,8.538888888899999,4.45,46.372222222,46,0
20160104_IC,5.16,7.21,2.12,70.64,56,0
20160104_JB,9.7133333333,10.36,4.86,70.07333333300001,120,0
20160104_JJ,14.5,4.9,11.95,65.3,24,0
20160104_JN,11.763636364000002,9.963636363600001,6.686363636399999,66.26363636399999,81,0
20160104_SU,5.3,7.8,2.0,54.4,260,0
20160104_US,13.9,10.9,7.7,52.8,23,0
20160105_BS,8.1,4.9,5.3,40.9,112,0
20160105_CB,2.8133333332999997,6.76,-1.073333333,39.073333333,42,0
20160105_CN,2.65625,6.925,-0.7875,53.35625,69,0
20160105_DG,5.9,5.0,2.9,29.4,77,0
20160105_DJ,3.7,7.1,-0.6,45.4,34,0
20160105_GB,5.2416666667000005,6.895833333300001,1.1083333333,34.2125,63,0
20160105_GG,1.9071428571,6.3928571429,-1.976190476,40.883333333,229,0
20160105_GJ,5.8,6.5,2.4,40.3,43,0
20160105_GN,6.6136363636,6.8636363636,2.4727272727000003,52.659090909,63,0
20160105_GW,3.9,8.3222222222,-0.705555556,34.344444444000004,37,0
20160105_IC,0.24,4.12,-2.01,45.68,50,0
20160105_JB,3.8333333332999997,6.8266666666999996,-2.36848e-16,55.133333333,106,0
20160105_JJ,11.45,4.8,8.55,71.95,15,0
20160105_JN,5.5363636364,5.881818181799999,2.5545454545,53.690909091,52,0
20160105_SU,1.5,6.3,-2.7,39.4,236,0
20160105_US,7.8,7.1,3.9,31.9,11,0
20160106_BS,9.9,8.1,4.8,34.5,69,0
20160106_CB,3.4333333333,9.94,-0.986666667,55.36,33,0
20160106_CN,4.41875,10.16875,0.025,70.13125,49,0
20160106_DG,5.8,6.6,2.2,47.5,65,0
20160106_DJ,5.4,11.0,-0.1,62.9,38,0
20160106_GB,5.5583333333,9.6375,0.7583333333,46.254166667,56,0
20160106_GG,2.7404761905,8.2,-1.488095238,58.804761905,197,0
20160106_GJ,7.5,8.5,3.3,54.1,34,0
20160106_GN,7.6727272726999995,9.5090909091,2.7318181818,44.686363636,51,0
20160106_GW,4.0444444444,11.055555556,-1.711111111,52.744444443999996,39,0
20160106_IC,2.46,5.25,-0.45,63.87,40,0
20160106_JB,5.3066666667,10.26,0.48666666670000003,63.766666666999996,72,0
20160106_JJ,10.6,4.3,8.25,68.5,12,0
20160106_JN,7.436363636399999,8.8727272727,3.2545454545,55.981818182,43,0
20160106_SU,1.7,6.6,-1.7,54.3,198,0
20160106_US,8.7,8.5,3.9,34.1,12,0
20160107_BS,8.5,7.4,3.9,47.3,88,0
20160107_CB,2.6666666667,7.126666666699999,-1.466666667,52.146666667,30,0
20160107_CN,3.175,5.0625,0.19375,62.98125,53,0
20160107_DG,5.3,6.0,1.7,50.4,61,0
20160107_DJ,4.1,6.7,0.1,59.4,26,0
20160107_GB,4.7708333333,7.6333333333,0.5375,44.895833333,49,0
20160107_GG,2.180952381,8.2714285714,-2.685714286,53.9,173,0
20160107_GJ,5.2,4.0,2.7,63.4,38,0
20160107_GN,7.1909090909,8.3136363636,2.3363636363999998,50.227272727,65,0
20160107_GW,2.8388888888999997,9.3055555556,-2.111111111,47.55,30,0
20160107_IC,1.3,5.43,-2.24,60.68,52,0
20160107_JB,3.6466666667000003,4.32,0.8066666667,63.606666667,93,0
20160107_JJ,8.5,2.9,6.7,55.6,18,0
20160107_JN,5.654545454500001,4.55,2.9409090908999995,63.454545455,52,0
20160107_SU,1.4,7.3,-3.4,51.8,214,0
20160107_US,7.2,6.6,3.3,38.6,10,0
20160108_BS,6.9,7.4,2.5,44.1,91,0
20160108_CB,2.2466666667,8.1733333333,-2.1,51.993333333,27,0
20160108_CN,3.05625,6.91875,-0.65,70.68125,57,0
20160108_DG,4.5,6.3,0.8,49.4,61,0
20160108_DJ,3.4,7.6,-1.0,62.0,44,0
20160108_GB,4.4,8.275,-0.44583333299999994,43.733333333000004,51,0
20160108_GG,1.9785714286000002,9.688095238099999,-2.80952381,54.321428571000006,162,0
20160108_GJ,4.8,5.0,1.2,81.0,27,0
20160108_GN,6.3772727273,8.845454545499999,1.2590909091,48.863636363999994,74,0
20160108_GW,1.9722222222,9.65,-3.3222222219999997,44.444444444,33,0
20160108_IC,1.8,7.3,-2.09,63.4,49,0
20160108_JB,3.3066666667,5.8,0.006666666700000001,71.46,67,0
20160108_JJ,7.75,4.1,5.65,57.0,13,0
20160108_JN,5.15,5.4954545454999995,1.8545454545,70.19090909100001,46,0
20160108_SU,1.0,7.9,-3.3,49.8,201,0
20160108_US,6.7,7.3,2.2,38.5,9,0
20160109_BS,9.4,9.8,3.8,46.1,19,0
20160109_CB,4.42,8.38,0.06,55.82,16,0
20160109_CN,5.20625,7.26875,0.9875,72.09375,10,0
20160109_DG,7.4,11.5,1.3,54.4,17,0
20160109_DJ,6.1,8.0,1.4,60.8,11,0
20160109_GB,5.75,10.708333332999999,0.5125,49.958333333,14,0
20160109_GG,3.1142857143000002,8.6619047619,-1.223809524,58.723809523999996,55,0
20160109_GJ,7.7,8.0,2.5,65.0,13,0
20160109_GN,7.8954545455,11.422727273,1.8,51.372727273,24,0
20160109_GW,3.15,10.166666667000001,-1.5666666669999998,48.8,9,0
20160109_IC,2.81,7.33,-0.83,69.83,17,0
20160109_JB,5.42,6.2933333333000006,1.7533333333,64.78,29,0
20160109_JJ,9.0,5.4,6.05,56.1,4,0
20160109_JN,6.936363636399999,8.095454545499999,2.2318181818,65.43636363600001,19,0
20160109_SU,2.4,8.6,-2.1,57.1,53,0
20160109_US,8.7,10.0,3.0,45.4,6,0
20160110_BS,10.1,9.6,4.8,46.1,1,0
20160110_CB,4.8466666667,7.36,0.6733333333,52.526666667,1,0
20160110_CN,5.43125,8.59375,0.3625,72.5,1,0
20160110_DG,8.0,11.9,2.1,58.6,0,0
20160110_DJ,5.4,7.2,1.2,63.8,1,0
20160110_GB,6.658333333300001,9.65,1.7291666666999999,51.3,0,0
20160110_GG,5.0928571429,8.0047619048,0.6380952381,46.357142857,14,0
20160110_GJ,8.5,8.6,3.7,59.4,0,0
20160110_GN,8.55,11.331818182000001,2.2090909091,54.536363636000004,3,0
20160110_GW,5.455555555599999,9.0944444444,0.8388888889,41.972222222,0,0
20160110_IC,3.46,5.55,1.16,52.42,0,0
20160110_JB,6.873333333300001,9.313333333300001,1.8866666666999998,66.166666667,3,0
20160110_JJ,10.95,6.1,7.55,60.35,0,0
20160110_JN,8.4090909091,9.5727272727,3.0954545455,62.572727273000005,1,0
20160110_SU,3.8,6.5,0.3,42.3,11,0
20160111_BS,10.1,8.4,4.5,27.6,100,0
20160111_CB,2.4533333333000003,8.6933333333,-2.68,44.106666667,45,0
20160111_CN,2.74375,8.68125,-2.1,65.4125,63,0
20160111_DG,5.5,7.3,1.5,33.9,65,0
20160111_DJ,3.8,9.2,-1.8,54.6,44,0
20160111_GB,5.2375,9.641666666699999,-0.279166667,37.379166667,75,0
20160111_GG,1.7,8.0761904762,-3.233333333,40.916666667,200,0
20160111_GJ,5.3,6.2,1.5,48.8,49,0
20160111_GN,7.4590909090999995,8.8409090909,2.1772727273,36.240909091,78,0
20160111_GW,2.1611111111000003,9.8111111111,-3.383333333,41.75,43,0
20160111_IC,-0.79,5.05,-3.64,51.54,41,0
20160111_JB,3.6466666667000003,7.78,-0.76,57.693333333000005,81,0
20160111_JJ,9.9,4.55,7.35,60.55,19,0
20160111_JN,5.9772727273,7.0772727273000005,1.8818181818000002,51.922727273,59,0
