,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.11403139119528594,-0.08691789033501396,-0.021116257414215966,-0.053098824516089826,-0.05329919319477072,-0.035053194987225256,-0.07384016952925831,-0.09715913585977742,-0.04489077443825748,-0.03165814973689196,-0.03320940773941375,-0.03496962379550239,-0.021305007289049382,-0.012019712371609093,-0.0178167098096442,-0.03324385256529283
pvalue,0.00010556991577685953,0.0022702102914795566,0.44063188850106016,0.056653238193339686,0.04658440836102593,0.18489340099503504,0.00813809623203944,0.0010262961101547342,0.0002857342938306026,0.008030689343628562,0.007371238764818022,0.0018268846884961477,0.04450382524419417,0.22340749617302402,0.10652448631165339,0.002488382209006975
lowerCI,-0.1716721434058726,-0.14272841907069472,-0.07478721546967204,-0.10770168910851474,-0.10579235325795111,-0.08687174721254551,-0.12852967365469656,-0.15515968950247513,-0.06914289447769649,-0.05506594226880958,-0.057500154999651,-0.05695831107815203,-0.04208674835942918,-0.0313690926886722,-0.039452283722621266,-0.05478505121681337
higherCI,-0.056390638984699246,-0.03110736159933318,0.0325547006412401,0.0015040400763350961,-0.0008060331315903335,0.016765357238095004,-0.019150665403820072,-0.03915858221707972,-0.020638654398818474,-0.008250357204974343,-0.008918660479176499,-0.012980936512852752,-0.0005232662186695838,0.007329667945454012,0.0038188641033328682,-0.011702653913772294
RR,0.8922299472782839,0.9167523667725769,0.9791051297218882,0.9482862939174176,0.9480963060801357,0.9655540522559498,0.9288201357377314,0.9074115929189057,0.956101906897917,0.9688377229061679,0.9673359707390498,0.965634748130648,0.9789203411911591,0.9880522358171202,0.982341069339884,0.9673026515938103
lowerRRCI,0.842255266849635,0.8669894947381362,0.9279409167948858,0.8978954084625848,0.8996114300654802,0.916794669565294,0.8793874673911986,0.856278427889037,0.9331933223779983,0.9464227366332278,0.94412174404787,0.9446334492957069,0.9587866037998901,0.9691178127575777,0.9613158233087066,0.9466886156511243
higherRRCI,0.9451698435770419,0.9693714942151225,1.03309040230588,1.0015051717118812,0.9991942916258534,1.0169066845359616,0.9810315435938316,0.9615982046792002,0.9795728649712263,0.9917835835866726,0.9911209928009186,0.9871029524653713,0.9994768706612223,1.0073565957118733,1.0038261652559308,0.9883655558030215
AR,-0.12078730718517676,-0.09080711023468212,-0.021340783174169344,-0.05453385376788537,-0.0547451704927086,-0.03567480004207908,-0.07663471271080143,-0.10203573307153989,-0.04591361316756587,-0.03216459924821713,-0.03376699538630281,-0.03558825108135243,-0.02153357931370694,-0.012092239407766717,-0.017976374205735415,-0.033802603923719955
lowerARCI,-0.18728850902932567,-0.15341651319781904,-0.07765481821192538,-0.11371546237466915,-0.11159103428378275,-0.09075677814985392,-0.1371551643402561,-0.16784443871285704,-0.07158932240509647,-0.056610287657887524,-0.05918543482809228,-0.05861167709609784,-0.042984952060001455,-0.03186628791245571,-0.04024086127922895,-0.05631353696189598
higherARCI,-0.05801090332659223,-0.03159625176483729,0.0320305001692219,0.0015029095749035876,-0.0008063580635910146,0.016625600748879407,-0.01933521560038823,-0.03993538583364042,-0.020853104204120346,-0.00828448519344678,-0.008958550231076473,-0.013065554613545914,-0.0005234031463195875,0.00730287143915962,0.0038115815151673433,-0.011771397868601126
isSignificant,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,True
