,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.028847526558707592,-0.07053251506382585,-0.03569858111211355,-0.05157310609363408,0.0006564998792222831,0.005934666056052584,-0.04816434527262392,-0.12063521658055343,-0.017176119491563557,-0.05960719276610549,-0.08557873020263151,-0.08695285481533585,-0.026238210347390878,0.025353446116668288,-0.024814131360695657,-0.05225158765071025
pvalue,0.37441843870020863,0.034066673141944115,0.26904759776949705,0.10020555246050841,0.9841796909304753,0.8601317953988725,0.1816836114212127,0.00038891250583542324,0.47897768423855835,0.0245525201693329,0.007607267561011421,0.0022291236669751196,0.3053440030770246,0.2826263598639238,0.3337177577445227,0.04402091584778203
lowerCI,-0.09250252369950274,-0.1357627266977668,-0.09900316888557432,-0.11306347507729766,-0.06423374001689526,-0.0600773058867287,-0.11884505189437033,-0.18728524749688036,-0.06472846213343014,-0.1115683382323752,-0.1484224560481474,-0.14268582325751103,-0.07640787613001108,-0.02089569547014085,-0.07512673235045055,-0.1031039920316598
higherCI,0.03480747058208755,-0.0053023034298849,0.02760600666134723,0.009917262890029512,0.06554673977533983,0.07194663799883387,0.022516361349122493,-0.05398518566422651,0.03037622315030302,-0.00764604729983577,-0.022735004357115632,-0.031219886373160678,0.02393145543522933,0.07160258770347742,0.02549846962905923,-0.0013991832697606982
RR,0.971564590970262,0.9318974383284939,0.9649310981123974,0.9497342160656828,1.0006567154224335,1.0059523110751467,0.9529771569164862,0.8863572290484857,0.9829705491157551,0.9421345381711475,0.9179808673893559,0.916720313562854,0.9741030205503014,1.0256775782229992,0.9754912084027146,0.9490900574655339
lowerRRCI,0.9116469102387045,0.873049759314321,0.9057398378330946,0.8930939691080783,0.9377857758479631,0.9416917324559044,0.887945375557043,0.829207173376904,0.937321947226678,0.8944302655313453,0.8620668526492494,0.8670264256472319,0.926438257435272,0.9793211068700479,0.9276259186658857,0.902033164342515
higherRRCI,1.0354203407326341,0.9947117289686466,1.0279905831810991,1.0099666019094364,1.0677426421984344,1.0745979998341055,1.02277176795352,0.947446142183111,1.030842287740927,0.9923831093614248,0.9775214883894631,0.9692624220437569,1.0242201107627689,1.074228347667988,1.0258263363744278,0.9986017951307767
AR,-0.02926764653016087,-0.07307946011060922,-0.03634342592564851,-0.05292615879687429,0.0006562844303266086,0.005917090710577492,-0.04934309573134355,-0.12821328379474164,-0.017324477218126202,-0.06141953137731243,-0.08934732250346147,-0.09084525040519463,-0.026585462629064204,0.025034746559914056,-0.025124564307879783,-0.05364079218195257
lowerARCI,-0.09691590984294705,-0.14541008611626396,-0.10406979822419511,-0.11970300392766894,-0.06634161634172973,-0.06191863593410693,-0.12619540292403766,-0.20597123626843572,-0.06686928963817823,-0.11803014559881864,-0.16000284308213816,-0.1533673835298663,-0.0794027469983531,-0.021115539106517072,-0.0780207623329487,-0.10860668934372524
higherARCI,0.03420865839623325,-0.005316385518884454,0.027228443177448932,0.009868249000109153,0.06344472864636681,0.06941944787317847,0.022264760005142076,-0.055468965967600155,0.029919501855630352,-0.007675352962704564,-0.022995414297819577,-0.03171233843093885,0.023647368869501487,0.06909922627635749,0.02517612919327617,-0.001400162583365028
isSignificant,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,True
