,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff
coefficient,-0.06982729894525341,-0.0033923291479572015,-0.02836371848166097,-0.015260272263744212,-0.029309423711080806,-0.024688578327851263,-0.0627040713324567,-0.043989618202239594,-0.029087506244922734,-0.0034174738017913042,-0.022128085509323693,-0.026888573907472457,-0.023479039921083897,-0.012087768308957803,-0.023584108262359765,-0.016715349303684818
pvalue,0.00014434536734151993,0.8508027378213501,0.12582084092337623,0.39958470446343697,0.09893345621047235,0.17250298664264008,0.000843532230321338,0.015954928215895874,0.000683302968859813,0.6835017276303457,0.018722541342613423,0.0028538384282456013,0.004744617651889138,0.1465190083891907,0.008538553639690988,0.05414955556171444
lowerCI,-0.10583712440768259,-0.038740786481947516,-0.06467947634640558,-0.05076702904532822,-0.06412384867371569,-0.06015884610091068,-0.09952073404961359,-0.07976556726258202,-0.04587408868866137,-0.019846955970346098,-0.040575584479633345,-0.04455522176646813,-0.039775085108788515,-0.028404994050359983,-0.04115979250628596,-0.033728660154168255
higherCI,-0.03381747348282423,0.03195612818603311,0.007952039383083635,0.020246484517839794,0.005505001251554079,0.010781689445208152,-0.025887408615299805,-0.008213669141897174,-0.012300923801184093,0.01301200836676349,-0.0036805865390140413,-0.009221926048476783,-0.007182994733379279,0.004229457432444378,-0.006008424018433576,0.00029796154679861964
RR,0.9325548592075136,0.996613418299652,0.9720347554922717,0.9848555756521609,0.9711159316775478,0.9756136919713736,0.9392213750976692,0.9569638924270705,0.9713314631786693,0.996588359115296,0.9781149446765746,0.9734697054068386,0.9767944481429981,0.9879849952841468,0.9766918233619665,0.9834235770032077
lowerRRCI,0.8995711543290468,0.9620000402447735,0.937367863804579,0.9505000836519166,0.937888836049094,0.9416149498408246,0.9052711797363637,0.9233327804472979,0.9551622203473297,0.9803486983415047,0.9602365827859868,0.9564227832797323,0.9610055593079169,0.9719946350329466,0.9596757686988338,0.9668338095858431
higherRRCI,0.9667479456699432,1.0324722078828554,1.0079837408229109,1.0204528348556694,1.005520181614132,1.0108400213090447,0.9744447975216174,0.9918199708728316,0.9877744232992497,1.013097032927503,0.9963261785172848,0.990820465500886,0.992842741315788,1.004238414210516,0.9940095904635524,1.0002980059417494
AR,-0.07232297395329793,-0.0033980896084320603,-0.028769798970372976,-0.015377304776703588,-0.02974317213863083,-0.02499586488925777,-0.06471171388748517,-0.0449715061492869,-0.02951467949726795,-0.0034233200232567946,-0.022374727471996654,-0.0272533335611853,-0.02375684249753713,-0.012161120637664752,-0.0238644125818543,-0.016855832404695566
lowerARCI,-0.11164080260650308,-0.03950099601405185,-0.06681702948638574,-0.05207776116957268,-0.06622444106761366,-0.062005228537466504,-0.10464137419156935,-0.08303313948797691,-0.046942580744416144,-0.02004521624983046,-0.041410021162332146,-0.045562712936254204,-0.040576706673960954,-0.028812262905241394,-0.04201859900645343,-0.03430392078279112
higherARCI,-0.03439578483615357,0.03145092684813433,0.007920505559338683,0.02004290071727049,0.005489876498819287,0.010723775355675778,-0.02622539783000451,-0.008247493867228492,-0.01237689133508423,0.012927718176863225,-0.0036873682152791967,-0.009264579021864994,-0.007208854319392713,0.004220525873677229,-0.006026510804240812,0.0002979171606654189
isSignificant,True,False,False,False,False,False,True,True,True,False,True,True,True,False,True,False
